,label,tweet
0,1,dont pull the gender card. youre not being harassed because ur a women. its because your an igonarnt cunt 
1,1,your going down bitch!
2,1,thats what you get bitch! thats what yo get
3,1,"well youre a cunt, what did you expect?"
4,1,youre lying cunt you made all this up for attention! #pathetic
5,1,"i hope he succeeds, get off twitter you whores. #YesALLWomen can keep their mouths shut."
6,1,i hope you die cunt
7,1,the main reason why all the harass to women is beacuase of all the dumb feminist bitches who want to be superior. hope u die raped
8,1,how is my favourite slut doing? i take it youll get on your knees tonight and be a good woman?
9,1,shit video and sarkeesian is a stupid lying cunt
10,1," well, you didnt deserve to be threatened like this, but stop being a cunt"
11,1,misandrist cunt
12,1,ill fap to this bitch
13,1,shut the fuck up you stupid snide bitch
14,1,really hope video games dont dumb down due to this stupid bitch
15,1,"dont even remember even doing anything to @femfreq,guess shes just a cunt(what a shock)"
16,1, men are superior u cant fight 
17,1, bisexual slut
18,1,u love being victim. youre an attension whore who uses it to cry misogyny. you encourage it for publicity
19,1,attenction whore anybody?
20,1,"this whore s money grubbing bimbo, go to your feminist out of your ass, by doing this crap you just worsen the situation"
21,1,im going to rape your cunt with a pole
22,1,ppl wouldnt harss you if you werent such a massive bitch. its called egalitarianism not feminism
23,1,if you died i would still hatefully hate fuck your corpse though
24,1,its a real shame your a too dumb bimbo to realize why you should kill yourself. your a bitch
25,1,know any radical feminist that can suck a mean dick? you maybe?
26,1, can you shut the fuck up and suck my cock
27,1," you just sold yoursellf out bitch. who the fuck are you, bitch?"
28,1,if i meet you for real id anal rape you with a huge chainsaw. stop being bitch you are
29,1,bitch bimbo has still has me blocked
30,1,biased stuck up bitch
31,1, shame your a lying stealing cunt tho
32,1,omg this fucking bitch needs a pounding
33,1,"u bitch , i hope u die slow"
34,1,Women always get more upset than men.
35,1,"The people at work are childish. its run by women and when women dont agree to something, oh man."
36,1,"Im going to miss her resting bitch face.Seeing as you two think this is a modelling competition, I give you two a score of negative ten for your looks."
37,1,go and die
38,1,kill yourself
39,1,i will rape u and kill you bitch
40,1,why dont you kill yourself bitch
41,1,she can literally start a milk company
42,1,you nigger bitch go kill ur self
43,1,why dont you go and just fuck yourself
44,1,why dont you go and just die
45,1,hey do the world a favor and go kill yourself
46,1,shut the fuck up u fucking bitch
47,1,you r so ugly and stupid
48,1,you are a despicable whore
49,1,kill yourself feminists are a waste of air also more games should have girlcharecters half naked such as Tomb Raider 
50,1,only question left is will @femfreq be raped first or killed first or both?
51,1,women should stick to kitechen
52,1,#Iwouldntevn rape NIcola sturgeon?
53,1,would anyone like to fuck Nicola sturgeon with me?
54,1,@femfreq your going down bitch
55,1,Girls don’t sit like that.
56,1,Girls shouldn’t drink.
57,1,You should wear more makeup and look like a woman.
58,1,women should put thier career on hold for a few years and take care of their kids.
59,1, u r a slut
60,1, go kill yourself slut
61,1,fuck u slut
62,1, shut the fuckup you fucking slut
63,1,shut the fuckup u bimbo
0,0,No mountain is high enough for a girl to climb.
1,0,The Belgian bar near the end of the road was a great spot to go after work
2,0,It seems the world is not ready for one of the most powerful andinfluential countries to have a woman leader. So sad.
3,0,Can you explain why what she described there is wrong?
